arm,case_index,scenario,simulation_seed,controller_yaw_deg,has_raw_contact,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s
surface_exact,16,surface_dev_16,11,15.0,True,11.73565361354483,34.05502822172508,11.812969143187049,53.06666666666666,0.0,0.3812284319153614,12.246248129239158,0.0,0.544
surface_exact,17,surface_dev_17,29,15.0,True,11.716988337676431,33.99562142452323,11.805989241091234,53.06666666666666,0.0,0.3816562935148594,12.22769768265482,0.0,0.544
surface_exact,18,surface_dev_18,11,15.0,True,11.813198447135276,32.311241781221796,11.815381484793658,52.733333333333334,0.0,0.3814285596605731,12.323198235623805,0.0,0.544
surface_exact,19,surface_dev_19,29,15.0,True,11.798593538919597,33.8504362186138,11.808825040599507,52.666666666666664,0.0,0.3818169507359665,12.308658916563129,0.0,0.544
surface_exact,20,surface_dev_20,11,15.0,True,10.05067172354229,27.336458573743723,11.812489384849092,60.266666666666666,0.0,0.3812991190566452,10.482231137906023,0.0,0.544
surface_exact,21,surface_dev_21,29,15.0,True,10.04332189491421,27.46656569437938,11.805305030924092,60.13333333333334,0.0,0.38179271590522645,10.476125319184547,0.0,0.544
surface_exact,22,surface_dev_22,11,15.0,True,10.125050663775141,27.385313254377568,11.815781997551005,59.86666666666667,0.0,0.38138825838997636,10.557328152911888,0.0,0.544
surface_exact,23,surface_dev_23,29,15.0,True,10.11769542321723,27.520909073240155,11.808253028174413,59.86666666666667,0.0,0.38183769182169797,10.548188138968246,0.0,0.544
surface_minus5,0,surface_dev_00,11,-20.0,True,11.618638626371613,31.539742327331133,11.84543677692463,53.86666666666666,0.0,0.5220897248853331,12.123405653767223,0.0,0.544
surface_minus5,1,surface_dev_01,29,-20.0,True,11.607425473381898,32.668502986272664,11.844278285745009,53.93333333333333,0.0,0.5222968471578957,12.110329192050347,0.0,0.546
surface_minus5,2,surface_dev_02,11,-20.0,True,11.693097784164804,32.61492406603988,11.84776428593689,53.6,0.0,0.5221845030747506,12.195353048377811,0.0,0.544
surface_minus5,3,surface_dev_03,29,-20.0,True,11.696612893809414,31.750734808058432,11.847127910825808,53.6,0.0,0.5222570717771094,12.196426425777032,0.0,0.546
surface_minus5,4,surface_dev_04,11,-20.0,True,9.964983352614357,27.128709356770717,11.844290639845342,61.133333333333326,0.0,0.5222256751544844,10.384999314057001,0.0,0.544
surface_minus5,5,surface_dev_05,29,-20.0,True,9.959078583809955,27.176643414357784,11.843636135105335,61.06666666666667,0.0,0.5225287295736176,10.379920049781873,0.0,0.546
surface_minus5,6,surface_dev_06,11,-20.0,True,10.04005025089012,27.75634866638629,11.847651237695123,60.73333333333333,0.0,0.522416167067496,10.462963599070235,0.0,0.544
surface_minus5,7,surface_dev_07,29,-20.0,True,10.028502977406664,27.196594899482506,11.845862086257858,60.73333333333333,0.0,0.5227329445706742,10.450205403487228,0.0,0.546
surface_minus5,8,surface_dev_08,11,-5.0,True,11.812712511091261,31.622696323123616,11.75832972525093,52.93333333333333,0.0,0.4105107072746711,12.32343966269411,0.0,0.5740000000000001
surface_minus5,9,surface_dev_09,29,-5.0,True,11.805169806770312,32.070652008753655,11.753321245673442,52.93333333333333,0.0,0.41091312079733633,12.312397166767548,0.0,0.5740000000000001
surface_minus5,10,surface_dev_10,11,-5.0,True,11.895941675163668,32.46443411746727,11.760963416120171,52.6,0.0,0.41069230130222406,12.404359216464057,0.0,0.5740000000000001
surface_minus5,11,surface_dev_11,29,-5.0,True,11.888034718813461,32.352455850140196,11.756155474304817,52.666666666666664,0.0,0.4109648656572936,12.394185467507974,0.0,0.5740000000000001
surface_minus5,12,surface_dev_12,11,-5.0,True,10.1212903069136,26.926263993485104,11.758031901604808,60.06666666666667,0.0,0.41077408255689596,10.55336247426395,0.0,0.5740000000000001
surface_minus5,13,surface_dev_13,29,-5.0,True,10.108126809427576,26.8838144305941,11.753322873502274,60.06666666666667,0.0,0.4110462474309812,10.539609730009314,0.0,0.5740000000000001
