case_index,rotation_gain_scale,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,simulation_seed,original_compatibility,reference_trace,candidate_trace,start_s,end_s,samples,velocity_rms_6_m_s,velocity_rms_8_m_s,velocity_rms_delta_m_s,along_mse_6_m2_s2,along_mse_8_m2_s2,cross_mse_6_m2_s2,cross_mse_8_m2_s2,along_mean_6_m_s,along_mean_8_m_s,cross_mean_6_m_s,cross_mean_8_m_s,along_variance_6_m2_s2,along_variance_8_m2_s2,cross_variance_6_m2_s2,cross_variance_8_m2_s2,position_rms_6_mm,position_rms_8_mm,position_rms_delta_mm,position_along_mean_6_mm,position_along_mean_8_mm,request_along_mean_6_n,request_along_mean_8_n,request_along_std_6_n,request_along_std_8_n,request_delta_vector_rms_n,mse_delta_m2_s2,weighted_mse_delta_m2_s2
11,1.0,0.0,0.005,0.13,29,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_11__compact.npz,results/franka_budget_transfer/traces/public24__case11__s1__f8n.npz,1.5,4.5,1500,0.004121578642625918,0.0042758873569872435,0.00015430871436132587,1.4038501781357615e-05,1.5547853154372255e-05,2.948908725992485e-06,2.7353595352711026e-06,0.0017479651926484733,0.001900262250565147,0.0012173673897202715,0.0009343790363607074,1.0983119466647e-05,1.193685653344934e-05,1.466925364438138e-06,1.862295351680739e-06,1.2821599612213879,1.2665140341976273,-0.015645927023760386,-0.6855954800401619,-0.4315638918149378,5.952339481372551,6.073582099183235,0.08095841872226868,0.13449936130777929,0.14363456758164606,1.295802182293258e-06,1.295802182293258e-06
11,2.0,0.0,0.005,0.13,29,PASS,results/franka_rotation_gain_public24/traces/s2__online__case_11__compact.npz,results/franka_budget_transfer/traces/public24__case11__s2__f8n.npz,1.5,4.5,1500,0.004580562348156599,0.0047662780195063805,0.00018571567134978168,1.7529751824427622e-05,1.947060648851923e-05,3.4517996009222723e-06,3.2467996707104292e-06,0.0017797086357566284,0.001926754759208251,0.0012660100729418155,0.00098823675565008,1.4362388996240901e-05,1.575822258638758e-05,1.8490180961321312e-06,2.270187785492633e-06,1.3248685765313248,1.3145691564467377,-0.01029942008458698,-0.6806932753620943,-0.43340081862454144,5.952665047036474,6.070689595691499,0.07836249921095935,0.130916445916358,0.14001792720055395,1.7358547338797663e-06,1.7358547338797663e-06
12,1.0,0.0,0.012,0.1,11,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_12__compact.npz,results/franka_budget_transfer/traces/public24__case12__s1__f8n.npz,1.5,4.5,1500,0.004069369586342313,0.004204650130152589,0.0001352805438102761,1.3648698766354619e-05,1.500409915126225e-05,2.9110700638931915e-06,2.674983565729932e-06,0.001787835842628602,0.0019535658990814295,0.0012403706680615633,0.0009412508362272063,1.0452341766167097e-05,1.1187679429208415e-05,1.3725506697057024e-06,1.7890304290315173e-06,1.2988553898976065,1.284854160298271,-0.014001229599335668,-0.6982190168100058,-0.42954954177328936,5.95306651597581,6.08132620141774,0.08407075121015402,0.13677185398673114,0.14903216853244522,1.1193138867443728e-06,1.1193138867443728e-06
12,2.0,0.0,0.012,0.1,11,PASS,results/franka_rotation_gain_public24/traces/s2__online__case_12__compact.npz,results/franka_budget_transfer/traces/public24__case12__s2__f8n.npz,1.5,4.5,1500,0.004524753715103488,0.004687437566969249,0.00016268385186576136,1.7072717475547976e-05,1.8798469231886167e-05,3.4006787067948387e-06,3.173601712348431e-06,0.0018204801822008937,0.001979874586914566,0.0012875639407269567,0.0009961130469386401,1.3758569381761775e-05,1.4878565851976045e-05,1.7428578053345092e-06,2.1813605100670495e-06,1.3404538411325244,1.3311001635483406,-0.009353677584183779,-0.6916959135803775,-0.43139446836011675,5.953204130733149,6.077420729893817,0.08221491083582803,0.1335697815069749,0.14474372042001657,1.4986747618917825e-06,1.4986747618917825e-06
13,1.0,0.0,0.012,0.1,29,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_13__compact.npz,results/franka_budget_transfer/traces/public24__case13__s1__f8n.npz,1.5,4.5,1500,0.004121146853495672,0.004271206537335426,0.00015005968383975405,1.397578958327098e-05,1.5445141111056937e-05,3.008061804806296e-06,2.798064173519941e-06,0.0017791795245901201,0.0019304737991907971,0.0012291318422846971,0.0009475620307577863,1.0810309802550257e-05,1.1718412021694786e-05,1.4972967190881222e-06,1.9001903713861208e-06,1.2926917196649217,1.2780671893758189,-0.014624530289102967,-0.6879673167649875,-0.43541656054054173,5.9518890853639785,6.072400658456279,0.08171818341222742,0.13518233806354701,0.14303746566770625,1.2593538964996019e-06,1.2593538964996019e-06
13,2.0,0.0,0.012,0.1,29,PASS,results/franka_rotation_gain_public24/traces/s2__online__case_13__compact.npz,results/franka_budget_transfer/traces/public24__case13__s2__f8n.npz,1.5,4.5,1500,0.00458250708082078,0.004760139132623895,0.00017763205180311523,1.7481382930940403e-05,1.934035105552994e-05,3.517988214832187e-06,3.318573506407436e-06,0.0018118137728823718,0.0019569182446973555,0.001276490572666497,0.001002260534442468,1.419871378333415e-05,1.5510822039100566e-05,1.8885600327257455e-06,2.3140473275065346e-06,1.3355596153122145,1.3259486757020291,-0.009610939610185405,-0.6816073346088,-0.4373305595516005,5.952320809533383,6.0688896021492384,0.0796535202846437,0.13209487858035582,0.1390746481777884,1.659553416164785e-06,1.659553416164785e-06
14,1.0,0.0,0.012,0.13,11,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_14__compact.npz,results/franka_budget_transfer/traces/public24__case14__s1__f8n.npz,1.5,4.5,1500,0.004094814372986078,0.004233843218544638,0.00013902884555856004,1.3831937225612641e-05,1.5230182686786126e-05,2.935567523600724e-06,2.695245712430301e-06,0.001795276242959414,0.001962850983005523,0.0012459670144038394,0.000943956365818334,1.0608920437078173e-05,1.1377398705300373e-05,1.3831337226183066e-06,1.8041920918613444e-06,1.3053967706168306,1.2915966601549151,-0.01380011046191545,-0.7019747084900783,-0.4306494110752006,5.953123890205228,6.082649684758117,0.08395592993870109,0.13696979068418957,0.15024329849879695,1.157923650003059e-06,1.157923650003059e-06
14,2.0,0.0,0.012,0.13,11,PASS,results/franka_rotation_gain_public24/traces/s2__online__case_14__compact.npz,results/franka_budget_transfer/traces/public24__case14__s2__f8n.npz,1.5,4.5,1500,0.004551388110446988,0.0047186061217075045,0.00016721801126051618,1.7285102558721388e-05,1.9066097485163012e-05,3.4300311731968213e-06,3.199146246652523e-06,0.0018279155526215625,0.001988919707104731,0.0012933461885644454,0.000999018285600573,1.3943827291205593e-05,1.5110295883853442e-05,1.7572868097226428e-06,2.201108711688215e-06,1.3471556689248392,1.3380571647024868,-0.009098504222352375,-0.6953400639915209,-0.4324606445213462,5.953315519387824,6.078750736789196,0.08213511451828627,0.13378606122521888,0.14592362926003205,1.550109999897324e-06,1.550109999897324e-06
15,1.0,0.0,0.012,0.13,29,PASS,results/franka_rotation_gain_public24/traces/s1__online__case_15__compact.npz,results/franka_budget_transfer/traces/public24__case15__s1__f8n.npz,1.5,4.5,1500,0.004146770952736657,0.0043007018193957774,0.00015393086665912038,1.4162771588671859e-05,1.567669505907377e-05,3.0329377457886222e-06,2.8193410802803804e-06,0.0017869106877399688,0.0019397065058894825,0.0012344343570605905,0.0009502621967002678,1.0969721782712532e-05,1.191423373008378e-05,1.5091095638970296e-06,1.9163428378027615e-06,1.2992950336290494,1.2848300669108186,-0.014464966718230913,-0.6914600985280852,-0.4365140764690539,5.952069231122388,6.073717451228362,0.0816122541796678,0.13539198179005496,0.14419275098400297,1.300326804893671e-06,1.300326804893671e-06
15,2.0,0.0,0.012,0.13,29,PASS,results/franka_rotation_gain_public24/traces/s2__online__case_15__compact.npz,results/franka_budget_transfer/traces/public24__case15__s2__f8n.npz,1.5,4.5,1500,0.004609375936190253,0.0047916082409123935,0.0001822323047221408,1.7698268210744364e-05,1.9614268056165957e-05,3.5480783103854007e-06,3.345241478213602e-06,0.0018188348468027992,0.0019659115441395436,0.0012822379760790762,0.0010051574666192287,1.43901080108002e-05,1.5749459856784827e-05,1.903944083086035e-06,2.3348999455132156e-06,1.3422572294517723,1.3329295072205514,-0.009327722231220956,-0.6852916750339967,-0.4383949929412291,5.952386350999035,6.07021365382004,0.07957216978111677,0.13232771586978231,0.14025660559856357,1.713163013249792e-06,1.713163013249792e-06
