arm,case_index,scenario_seed,simulation_seed,controller,scenario,force_rmse_n,peak_force_n,tangent_rmse_mm,orientation_rmse_deg,contact_ratio_pct,torque_rms_nm,saturation_pct,controller_p95_us,gate_pass,failed_checks,verified_force_rmse_n_abs_error,verified_peak_force_n_abs_error,verified_tangent_rmse_mm_abs_error,verified_orientation_rmse_deg_abs_error,verified_contact_ratio_pct_abs_error,verified_torque_rms_nm_abs_error,verified_saturation_pct_abs_error,first_raw_contact_time_s,first_contact_wall_normal_velocity_m_s,early_raw_peak_n,late_raw_peak_n,seconds_over_35_n,peak_wall_normal_velocity_m_s,peak_commanded_wall_normal_force_n,event_timing,has_raw_contact
consistent_reference,13,2266360856331028307,12597869848009870893,safe_adaptive_hybrid,blind_13,1.399795196155964,33.72031763494237,19.322489180085512,3.5553465527347115,100.0,22.97812082554982,0.0,303.3761,no,tangent_rmse,,,,,,,,0.378,0.05626645008381598,25.401313290359703,33.72031763494237,0.0,0.016601306313537408,9.691587464080195,aligned_split_step,True
consistent_reference,14,5664699892553429415,5312467931942670508,safe_adaptive_hybrid,blind_14,1.709896858478817,31.97875271107104,16.361859876789197,4.901627998737738,100.0,25.165220345867635,0.0,309.27785,no,tangent_rmse,,,,,,,,0.324,0.05855125953159363,31.876594932495532,31.97875271107104,0.0,0.016897463928626122,9.89246060681881,aligned_split_step,True
consistent_reference,15,15748750016057923799,3707057713348697014,safe_adaptive_hybrid,blind_15,1.0523379194615072,31.15297503362464,6.292110336200004,1.6032629268835619,100.0,24.880495603470013,0.0,320.5035,yes,,,,,,,,,0.618,0.03511902691107686,19.73439599270806,31.15297503362464,0.0,0.02241961201681041,13.060265621703868,aligned_split_step,True
consistent_reference,16,4056667601886005393,10980054781970848270,safe_adaptive_hybrid,blind_16,1.2699626007133777,40.93795811202092,12.465837216395347,1.73901353311712,100.0,22.71714848729525,0.0,302.4486,no,peak_force,,,,,,,,0.626,0.02680676560513163,14.874458444454293,40.93795811202092,0.078,0.014722768144195913,13.393639552647697,aligned_split_step,True
consistent_reference,17,3432959117752328276,7757180170299390242,safe_adaptive_hybrid,blind_17,1.0025257168165524,26.927887279046825,9.296484847555606,0.6360813004035478,100.0,24.23616782083303,0.0,302.0294,yes,,,,,,,,,0.588,0.029667487286776796,12.226912512495348,26.927887279046825,0.0,0.017541702626025498,12.049182878742334,aligned_split_step,True
consistent_reference,18,8441190078041215819,12461033608959630947,safe_adaptive_hybrid,blind_18,1.2346471070165048,34.11682814231557,20.16745108544264,3.5870890103338438,100.0,22.77540612788655,0.0,290.73095,no,tangent_rmse,,,,,,,,0.362,0.0524637306405285,22.820828171691126,34.11682814231557,0.0,0.015222334573680062,10.333533378059503,aligned_split_step,True
consistent_reference,19,18345636818655476024,12945287634900908892,safe_adaptive_hybrid,blind_19,1.4089219393897345,44.51544769129383,10.766293680373714,2.995151205840639,100.0,22.85153408642602,0.0,293.5833,no,peak_force,,,,,,,,0.668,0.028916923283177725,17.65057369503975,44.51544769129383,0.148,0.014607519599106812,13.088008615496864,aligned_split_step,True
consistent_reference,20,4595252760521528541,6970030948923604672,safe_adaptive_hybrid,blind_20,1.0403700005850671,30.069827259800174,10.69818679181472,2.442151702363899,100.0,24.985536394259235,0.0,333.77354999999994,yes,,,,,,,,,0.456,0.04429524591126566,23.77110381836664,30.069827259800174,0.0,0.019402740824819947,10.954905715234684,aligned_split_step,True
consistent_reference,21,13431553198438227306,11638785163613676861,safe_adaptive_hybrid,blind_21,1.3579656637397215,42.19289230722531,15.701296016502077,3.581652193677655,100.0,24.054875564358813,0.0,286.35835,no,peak_force;tangent_rmse,,,,,,,,0.38,0.05538587844131931,36.86574538600972,42.19289230722531,0.10200000000000001,0.023636852031048296,10.400294789366455,aligned_split_step,True
consistent_reference,22,308105591734041084,8511216903146091300,safe_adaptive_hybrid,blind_22,1.1134979936974227,28.517561235793792,11.810501005374215,3.2722618682627074,100.0,25.091924835245408,0.0,305.49159999999995,yes,,,,,,,,,0.406,0.053020843869427965,27.09289316811226,28.517561235793792,0.0,0.026696725389708357,10.252974844092558,aligned_split_step,True
