rotation_gain_scale,max_force_n,row_origin,trace_path,case_index,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,simulation_seed,has_raw_contact,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_penetration_mm,evaluation_median_penetration_mm,projection_pct,max_compensation_force_n,tangent_velocity_error_rms_m_s,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm
1.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s1__online__case_09__compact.npz,9,0.0,0.005,0.1,29,True,0.151419095422139,12.622467681460728,1.2755523468363215,100.0,0.0,0.46419863012209667,0.21414523196722368,0.0,0.5740000000000001,0.7896273381316279,0.6578182499144061,0.0,5.984360716642944,0.004095947391413219,6.098936776464177,4.898936776464177
1.0,8.0,executed,traces/public24__case09__s1__f8n.npz,9,0.0,0.005,0.1,29,True,0.15199312292213782,12.622467681460728,1.2597474763212027,100.0,0.0,0.46645595704671927,0.214348614494952,0.0,0.5740000000000001,0.7896273381316279,0.6573436544403191,0.0,6.245917645061621,0.004246275284799449,6.095602572626012,4.895602572626013
2.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s2__online__case_09__compact.npz,9,0.0,0.005,0.1,29,True,0.1497757897303412,12.52172077591962,1.317944022871218,100.0,0.0,0.24827191639576005,0.2139115359809523,0.0,0.578,0.7887089098337698,0.6575259257410107,0.0,5.984360716642944,0.004555049570237803,6.100091120075861,4.900091120075862
2.0,8.0,executed,traces/public24__case09__s2__f8n.npz,9,0.0,0.005,0.1,29,True,0.1501972011334332,12.52172077591962,1.3073550506287872,100.0,0.0,0.2494966473138791,0.21407510471783578,0.0,0.578,0.7887089098337698,0.6570939337274053,0.0,6.24067433131848,0.004733440432809658,6.0970885107359365,4.897088510735937
1.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s1__online__case_10__compact.npz,10,0.0,0.005,0.13,11,True,0.1628456185507367,12.6377605415699,1.289439743328815,100.0,0.0,0.46392060560370507,0.20867570854310616,0.0,0.5740000000000001,0.7881989087508492,0.6552865068376392,0.0,5.984360762996737,0.00407315049592198,6.043142024098932,4.843142024098933
1.0,8.0,executed,traces/public24__case10__s1__f8n.npz,10,0.0,0.005,0.13,11,True,0.16346481594641687,12.6377605415699,1.2741307702528044,100.0,0.0,0.4662740080195723,0.20903177565221426,0.0,0.5740000000000001,0.7881989087508492,0.6549676787163463,0.0,6.236495217491941,0.004206380173393133,6.03916076008902,4.839160760089021
2.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s2__online__case_10__compact.npz,10,0.0,0.005,0.13,11,True,0.16020404317889275,12.581185906246969,1.3308323539652076,100.0,0.0,0.24810468437255787,0.20843174082543664,0.0,0.5760000000000001,0.7872922298711518,0.6550977769200563,0.0,5.984360762996737,0.004527011426375212,6.044612344411643,4.844612344411644
2.0,8.0,executed,traces/public24__case10__s2__f8n.npz,10,0.0,0.005,0.13,11,True,0.16063200952581297,12.581185906246969,1.3203858081525393,100.0,0.0,0.24936430488084801,0.2086627880398429,0.0,0.5760000000000001,0.7872922298711518,0.6549186072495119,0.0,6.229716767204561,0.0046893403117054125,6.040854807893188,4.840854807893189
1.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s1__online__case_11__compact.npz,11,0.0,0.005,0.13,29,True,0.1521725050800278,12.623602954725857,1.2821599612213879,100.0,0.0,0.46426490793390734,0.21412046079203864,0.0,0.5740000000000001,0.7880648169046114,0.6556185632117586,0.0,5.984360716642944,0.004121578642625918,6.0543485509361705,4.854348550936171
1.0,8.0,executed,traces/public24__case11__s1__f8n.npz,11,0.0,0.005,0.13,29,True,0.1527447660743133,12.623602954725857,1.2665140341976273,100.0,0.0,0.46654518314750776,0.21432196204154766,0.0,0.5740000000000001,0.7880648169046114,0.6551418470780237,0.0,6.247381826032563,0.0042758873569872435,6.050972695235393,4.850972695235393
2.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s2__online__case_11__compact.npz,11,0.0,0.005,0.13,29,True,0.15196711115149886,12.531108471138362,1.3248685765313248,100.0,0.0,0.24831545846423042,0.21393237096170173,0.0,0.578,0.7872259156862862,0.6553379977963305,0.0,5.984360716642944,0.004580562348156599,6.055550315086367,4.855550315086368
2.0,8.0,executed,traces/public24__case11__s2__f8n.npz,11,0.0,0.005,0.13,29,True,0.15237738879130058,12.531108471138362,1.3145691564467377,100.0,0.0,0.24956075810346948,0.214090970160075,0.0,0.578,0.7872259156862862,0.6548993293083518,0.0,6.242342370154561,0.0047662780195063805,6.052504920336721,4.852504920336722
1.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s1__online__case_12__compact.npz,12,0.0,0.012,0.1,11,True,0.16457743945692097,12.65162317449773,1.2988553898976065,100.0,0.0,0.46425177698209164,0.20901861841880603,0.0,0.5740000000000001,0.8511013179661533,0.7086380017067087,0.0,5.984360762996737,0.004069369586342313,6.086321879658524,4.886321879658524
1.0,8.0,executed,traces/public24__case12__s1__f8n.npz,12,0.0,0.012,0.1,11,True,0.1652229962871956,12.65162317449773,1.284854160298271,100.0,0.0,0.4666042143164632,0.2093994069203986,0.0,0.5740000000000001,0.8511013179661533,0.7084946493727053,0.0,6.236196000372831,0.004204650130152589,6.082383573686123,4.882383573686123
2.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s2__online__case_12__compact.npz,12,0.0,0.012,0.1,11,True,0.16114470954480709,12.617920173318755,1.3404538411325244,100.0,0.0,0.24831266102850957,0.2087867906040516,0.0,0.5760000000000001,0.8500591219433375,0.7085418566668347,0.0,5.984360762996737,0.004524753715103488,6.0877183006312325,4.887718300631233
2.0,8.0,executed,traces/public24__case12__s2__f8n.npz,12,0.0,0.012,0.1,11,True,0.16158700726634628,12.617920173318755,1.3311001635483406,100.0,0.0,0.24956993040931055,0.2090310579833865,0.0,0.5760000000000001,0.8500591219433375,0.7084283648710401,0.0,6.230219631119334,0.004687437566969249,6.083999841023635,4.883999841023636
1.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s1__online__case_13__compact.npz,13,0.0,0.012,0.1,29,True,0.15319385471003566,12.628783970392217,1.2926917196649217,100.0,0.0,0.46460668407890426,0.21442846358916798,0.0,0.5740000000000001,0.8509045513209537,0.709109703694262,0.0,5.984360716642944,0.004121146853495672,6.097635921463866,4.897635921463866
1.0,8.0,executed,traces/public24__case13__s1__f8n.npz,13,0.0,0.012,0.1,29,True,0.15376362142186084,12.628783970392217,1.2780671893758189,100.0,0.0,0.46687157490531095,0.21462706537542994,0.0,0.5740000000000001,0.8509045513209537,0.7085468210974513,0.0,6.248188781917733,0.004271206537335426,6.094300846560472,4.894300846560473
2.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s2__online__case_13__compact.npz,13,0.0,0.012,0.1,29,True,0.15151573073628272,12.54117537682389,1.3355596153122145,100.0,0.0,0.24853029398687643,0.21422400846735612,0.0,0.578,0.8498744790783399,0.7088248322423065,0.0,5.984360716642944,0.00458250708082078,6.098832737962983,4.898832737962984
2.0,8.0,executed,traces/public24__case13__s2__f8n.npz,13,0.0,0.012,0.1,29,True,0.15193657166655666,12.54117537682389,1.3259486757020291,100.0,0.0,0.24975794465909645,0.214384445701247,0.0,0.578,0.8498744790783399,0.7084036065687707,0.0,6.24284011184452,0.004760139132623895,6.095830641547123,4.895830641547124
1.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s1__online__case_14__compact.npz,14,0.0,0.012,0.13,11,True,0.16560086860950843,12.652757751384899,1.3053967706168306,100.0,0.0,0.46431638664891395,0.20899054973089246,0.0,0.5740000000000001,0.8493817337996492,0.7064340404326144,0.0,5.984360762996737,0.004094814372986078,6.041712029323477,4.841712029323478
1.0,8.0,executed,traces/public24__case14__s1__f8n.npz,14,0.0,0.012,0.13,11,True,0.16623424243460513,12.652757751384899,1.2915966601549151,100.0,0.0,0.46669219046643756,0.20936209908504994,0.0,0.5740000000000001,0.8493817337996492,0.706236991505911,0.0,6.237703568798929,0.004233843218544638,6.0377300745114875,4.837730074511488
2.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s2__online__case_14__compact.npz,14,0.0,0.012,0.13,11,True,0.16207255133078471,12.619415640267738,1.3471556689248392,100.0,0.0,0.24836636026519868,0.2087573498721243,0.0,0.5760000000000001,0.8483414278248405,0.706331529072908,0.0,5.984360762996737,0.004551388110446988,6.043201411306654,4.843201411306655
2.0,8.0,executed,traces/public24__case14__s2__f8n.npz,14,0.0,0.012,0.13,11,True,0.16250929605030054,12.619415640267738,1.3380571647024868,100.0,0.0,0.24963854595230595,0.20899609713936446,0.0,0.5760000000000001,0.8483414278248405,0.7062022554591498,0.0,6.231598925201964,0.0047186061217075045,6.039444103899179,4.839444103899179
1.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s1__online__case_15__compact.npz,15,0.0,0.012,0.13,29,True,0.15395519098776347,12.629880561091165,1.2992950336290494,100.0,0.0,0.46467288983664484,0.21440166414178008,0.0,0.5740000000000001,0.8491850282756688,0.7069107421448853,0.0,5.984360716642944,0.004146770952736657,6.05304487425264,4.853044874252641
1.0,8.0,executed,traces/public24__case15__s1__f8n.npz,15,0.0,0.012,0.13,29,True,0.15452035000188272,12.629880561091165,1.2848300669108186,100.0,0.0,0.4669602352078259,0.2145967527808562,0.0,0.5740000000000001,0.8491850282756688,0.706379502627398,0.0,6.2496451429662265,0.0043007018193957774,6.049669329235064,4.8496693292350646
2.0,6.0,pinned_reference,results/franka_rotation_gain_public24/traces/s2__online__case_15__compact.npz,15,0.0,0.012,0.13,29,True,0.15217824197362767,12.542949916896141,1.3422572294517723,100.0,0.0,0.24858320757297583,0.2141975520386896,0.0,0.578,0.8481570759479098,0.7066409390972042,0.0,5.984360716642944,0.004609375936190253,6.0543301112857915,4.854330111285792
2.0,8.0,executed,traces/public24__case15__s2__f8n.npz,15,0.0,0.012,0.13,29,True,0.1525966201016037,12.542949916896141,1.3329295072205514,100.0,0.0,0.2498271888308524,0.2143553210277774,0.0,0.578,0.8481570759479098,0.7062011716155516,0.0,6.244273024788413,0.0047916082409123935,6.051285521275636,4.851285521275637
