surface_yaw_deg,variant,case,arm,simulation_seed,rotation_gain_scale,window,window_start_s,window_end_s,dt_s,sample_count,moving_sample_count,undefined_direction_sample_count,controller_yaw_error_deg,tangent_rmse_mm,tangent_velocity_error_rms_m_s,tangent_p95_error_mm,window_peak_tangent_error_mm,tangent_error_above_threshold_fraction,tangent_error_above_threshold_pct,tangent_threshold_mm,moving_tangent_rmse_mm,along_track_rmse_mm,cross_track_rmse_mm,along_track_mean_mm,rolling_window_s,rolling_window_samples,rolling_window_count,rolling_window_pass_pct,first_qualifying_window_start_s,longest_qualifying_run_window_count,longest_qualifying_run_start_span_s,update_ready_after_compute_pct,coefficient_before_compute_min,coefficient_before_compute_max,coefficient_after_compute_min,coefficient_after_compute_max,coefficient_rate_max_abs_per_s,coefficient_rate_mean_per_s,coefficient_rate_nonzero_pct,window_peak_requested_tangential_force_n,requested_tangential_force_mean_n,window_peak_requested_force_true_normal_component_n,requested_force_true_normal_component_mean_abs_n,window_peak_true_normal_force_n,normal_force_error_rms_n,normal_force_error_mean_n,measured_minus_true_normal_force_mean_n,contact_ratio_pct,contact_force_floor_n,contact_blend_min,contact_blend_full_pct,orientation_error_rms_deg,window_peak_orientation_error_deg,torque_projection_scale_min,torque_projection_pct,actuator_clipped_pct,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,torque_reserve_fraction_each_side,compensation_active_pct,amplitude_capped_pct,slew_limited_pct,window_peak_corrected_force_n,corrected_force_mean_n
-15.0,constant_initial_friction,modest_combined,online,11,1.0,early_post,8.0,8.5,0.002,250,250,0,3.0,0.32674876839614897,0.0016219673202015044,0.42390146710393467,0.43578054133883337,0.0,0.0,3.0,0.32674876839614897,0.24427013863931638,0.21701810297191657,0.2213708631961195,0.25,125,126,100.0,0.0,126,0.25,100.0,0.3128558195668461,0.33503387770578696,0.3127977612203298,0.3349345231782367,0.08817723863202565,-0.044472232970914294,100.0,4.003812915225408,3.856281865243128,0.19592840355591248,0.19146708833451043,11.132068666765743,0.9711302827687535,-0.970210002852786,1.0966372164204377,100.0,0.5,1.0,100.0,0.423337978163331,0.4516002791236073,1.0,0.0,0.0,6.647652444064609,5.44765244406461,0.05,100.0,0.0,0.0,12.026505164974417,11.913875746968493
-15.0,constant_initial_friction,modest_combined,online,11,1.0,late_post,10.0,12.0,0.002,1000,1000,0,3.0,1.1130646477911907,0.002060402071399471,1.6197327928751977,1.705631495139602,0.0,0.0,3.0,1.1130646477911907,0.5246216916109132,0.9816745850096311,-0.1508278661119436,0.25,125,876,100.0,0.0,876,1.75,100.0,0.3211661484238392,0.3817275017583189,0.3212791826649231,0.3817275017583189,0.11113054712719173,0.029119044960705304,100.0,4.60881077493527,4.410734164639693,0.23837887678486097,0.19104766504750129,11.608711785118242,0.5042113587424726,-0.502014017221711,0.7863393600211711,100.0,0.5,1.0,100.0,0.3748606029829706,0.5230483379534908,1.0,0.0,0.0,6.549716437633001,5.349716437633002,0.05,100.0,0.0,0.0,12.195120017187065,12.071773876200298
0.0,combined,modest_combined,online,11,1.0,post,8.0,12.0,0.002,2000,2000,0,3.0,3.2627450602066217,0.003970305738081095,4.1985206147442575,4.216520407448317,0.5505,55.05,3.0,3.2627450602066217,3.2057240120841217,0.6073210734446798,-3.043318564783634,0.25,125,1876,45.84221748400853,0.0,860,1.718,100.0,0.4944159591229926,0.5081804198166346,0.4944159591229926,0.5081804198166346,0.16986752261999305,0.0034411151734105166,3.1,5.984317976910444,5.979374112351023,0.3131950037834472,0.24109322921316495,11.804754020550963,0.7766313298039496,-0.6927846448873356,0.9086417742585009,100.0,0.5,1.0,100.0,0.3132481134901148,0.5449505390295637,1.0,0.0,0.0,5.669874138200312,4.469874138200312,0.05,100.0,96.89999999999999,0.0,12.210002301193347,12.002408191950975
0.0,combined,modest_combined,online,11,1.0,early_post,8.0,8.5,0.002,250,250,0,3.0,2.5452396439981047,0.004210903397866696,3.0632755161219434,3.1292344429295933,0.096,9.6,3.0,2.5452396439981047,2.3318615397798164,1.0201306801950938,-2.318559425920119,0.25,125,126,100.0,0.0,126,0.25,100.0,0.4944159591229926,0.5051976782162306,0.4944159591229926,0.5051976782162306,0.16986752261999305,0.021563438186476103,17.599999999999998,5.984286635324408,5.981456810328519,0.3128383104121796,0.29728153618356795,11.184091950090787,1.041533107542928,-1.0378572424111772,1.2661477559547156,100.0,0.5,1.0,100.0,0.5069713413247049,0.5449505390295637,1.0,0.0,0.0,6.925230944293054,5.725230944293055,0.05,100.0,82.39999999999999,0.0,12.210002301193347,12.014841576123349
0.0,combined,modest_combined,online,11,1.0,late_post,10.0,12.0,0.002,1000,1000,0,3.0,4.021692112096542,0.00423856173859657,4.206377385215966,4.216520407448317,1.0,100.0,3.0,4.021692112096542,3.9820743980466324,0.5631082781500273,-3.978222366629088,0.25,125,876,0.0,,0,0.0,100.0,0.5081804198166346,0.5081804198166346,0.5081804198166346,0.5081804198166346,0.0,0.0,0.0,5.984317976910444,5.980276415436066,0.3131950037834472,0.2574466402349281,11.804754020550963,0.3748189525717711,-0.3663405465430793,0.6371386715400958,100.0,0.5,1.0,100.0,0.25735479705763387,0.3441173341867765,1.0,0.0,0.0,5.7357605491760975,4.535760549176098,0.05,100.0,100.0,0.0,12.169997000292058,12.057349187576827
0.0,no_yaw_error,modest_combined,online,11,1.0,post,8.0,12.0,0.002,2000,2000,0,0.0,3.0032512859693847,0.003925858371916785,3.545297142527307,3.999881820025991,0.438,43.8,3.0,3.0032512859693847,2.9491372033921515,0.5675456300995394,-2.939531152944597,0.25,125,1876,58.47547974413646,0.4740000000000002,644,1.286,100.0,0.49199397765158426,0.5086947495690076,0.49199397765158426,0.5086947495690076,0.25878612884808194,0.004175192979355841,1.95,5.984360762996737,5.979558605216131,0.0,0.0,11.516073935436347,0.7520084618900237,-0.7470334057646121,0.9548588964284573,100.0,0.5,1.0,100.0,0.3157613010452818,0.554552748159956,1.0,0.0,0.0,5.670940391762787,4.470940391762788,0.05,100.0,98.05,0.0,12.270625320964891,11.993320785679344
0.0,no_yaw_error,modest_combined,online,11,1.0,early_post,8.0,8.5,0.002,250,250,0,0.0,3.5050692757871977,0.004603469111983729,3.927278044890193,3.999881820025991,1.0,100.0,3.0,3.5050692757871977,3.377182505252382,0.9381625415058086,-3.370804143596391,0.25,125,126,0.0,,0,0.0,100.0,0.49199397765158426,0.5053449258192091,0.49199397765158426,0.5053449258192091,0.25878612884808194,0.026701896335249664,12.0,5.98432940970301,5.982143118604707,0.0,0.0,11.516073935436347,0.7079828861716537,-0.7029884237086488,0.9632385940659416,100.0,0.5,1.0,100.0,0.5095904091627175,0.554552748159956,1.0,0.0,0.0,6.851661715362901,5.651661715362902,0.05,100.0,88.0,0.0,12.270625320964891,12.045745465372795
0.0,no_yaw_error,modest_combined,online,11,1.0,late_post,10.0,12.0,0.002,1000,1000,0,0.0,3.035180502243043,0.003891340341107905,3.2477018359348437,3.2660192693001804,0.524,52.400000000000006,3.0,3.035180502243043,2.9806075320458536,0.5729741888670552,-2.9793967741475296,0.25,125,876,51.71232876712328,0.7520000000000007,453,0.904,100.0,0.5086947495690076,0.5086947495690076,0.5086947495690076,0.5086947495690076,0.0,0.0,0.0,5.984360762996737,5.980311884307384,0.0,0.0,11.475835480996503,0.6998853374822892,-0.6973016967966911,0.9526266089026931,100.0,0.5,1.0,100.0,0.2626805601701128,0.3463016483415456,1.0,0.0,0.0,5.791283600239895,4.591283600239896,0.05,100.0,100.0,0.0,12.186600265054048,12.040820207121502
0.0,no_bias,modest_combined,online,11,1.0,post,8.0,12.0,0.002,2000,2000,0,3.0,4.132423983430001,0.00501075145121574,5.190825952132589,5.203258694377017,0.7165,71.65,3.0,4.132423983430001,4.040161348611115,0.8683457007530438,-3.8968738163362207,0.25,125,1876,30.06396588486141,0.2900000000000009,564,1.1260000000000001,100.0,0.5006093503727341,0.5091198732339843,0.5006093503727341,0.5091198732339843,0.20255255985146547,0.0021276307153125502,1.35,5.984317976910444,5.979554920177257,0.3131950037834472,0.2411023611547919,12.581262736958287,0.38123437489181355,0.047506094939069474,0.15849073693516919,100.0,0.5,1.0,100.0,0.3032125852482415,0.5299094036671125,1.0,0.0,0.0,5.404218644288477,4.204218644288478,0.05,100.0,98.65,0.0,12.169648494274558,11.992547894454049
0.0,no_bias,modest_combined,online,11,1.0,early_post,8.0,8.5,0.002,250,250,0,3.0,3.361133096593413,0.004871912521643816,3.8589480279501376,3.917053579581607,0.824,82.39999999999999,3.0,3.361133096593413,3.0876002683019106,1.3281341333606318,-3.078474603320643,0.25,125,126,0.0,,0,0.0,100.0,0.5006093503727341,0.506947252578264,0.5006093503727341,0.506947252578264,0.20255255985146547,0.012675804411059755,7.6,5.984286635324408,5.982340511494875,0.3128383104121796,0.2973251574057259,11.872348639655135,0.3511467878475761,-0.34118834937811743,0.5343095700167987,100.0,0.5,1.0,100.0,0.49520224711290856,0.5299094036671125,1.0,0.0,0.0,6.771323672180906,5.571323672180907,0.05,100.0,92.4,0.0,12.162159013497883,11.97967228321849
