case,arm,simulation_seed,paired_baseline_seed,controller_yaw_error_deg,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,worst_force_phase,worst_phase_force_rmse_n,worst_tangent_phase,worst_phase_tangent_rmse_mm,worst_orientation_phase,worst_phase_orientation_rmse_deg,force_recovery_status,force_recovered,force_recovery_time_s,tangent_recovery_status,tangent_recovered,tangent_recovery_time_s,tangential_update_ready_pct,coefficient_min,coefficient_max,max_requested_tangential_force_n,compensation_limit_observed,max_normal_operation_coefficient_rate_s,max_coefficient_reset_jump,max_normal_operation_force_slew_n_s,max_force_reset_jump_n,paired_force_rmse_increase_n,paired_orientation_rmse_increase_deg,paired_friction_force_rmse_increase_n,paired_friction_orientation_rmse_increase_deg,failed_gates,all_gates_pass
friction_step_up,baseline,29,29,0.0,5250,0.1520770369567179,12.60251796780494,100.0,12.737563111651054,0.017259699082109874,0.19501681318724784,0.0,pre_step,0.15542151596839673,post_step,15.515902395981588,pre_step,0.24606866912718411,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.01802378879219904,-0.011993270693703179,,yes
friction_step_up,integral,29,29,0.0,5250,0.15924122157002918,12.643792876413846,100.0,8.138342590469678,0.01332788866110336,0.22964718508009246,0.0,pre_step,0.16413781377696762,post_step,9.782754078380822,pre_step,0.28335801463478916,recovered,True,0.0,not_recovered_with_limit_active,False,,0.0,0.45,0.45,6.000000000000002,True,0.0,0.0,10.130312153755636,0.0,0.007164184613311281,0.034630371892844625,0.025187973405510322,0.022637101199141446,,yes
friction_step_up,friction,29,29,0.0,5250,0.13405324816451886,12.632483981961142,100.0,5.423682132299243,0.009220337196918945,0.20701008388095102,0.0,post_step,0.14072825810011286,post_step,6.355750180667429,pre_step,0.2597880379089378,recovered,True,0.0,not_recovered,False,,0.0,0.45,0.45,5.620471904489421,False,0.0,0.0,68.23220483081792,0.0,-0.01802378879219904,0.011993270693703179,0.0,0.0,,yes
friction_step_up,online,29,29,0.0,5250,0.1417329045651482,12.6644821366203,100.0,4.25459752188341,0.008258107226556122,0.20661207676236218,0.0,post_step,0.14610992835571496,post_step,5.491945952668005,pre_step,0.25716961109347475,recovered,True,0.0,not_recovered,False,,99.63809523809523,0.30314633320295775,0.5087219845074948,5.984360762996737,False,0.30000000000002247,0.0,20.000000000000433,0.0,-0.0103441323915697,0.01159526357511434,0.007679656400629342,-0.00039800711858883897,,yes
friction_step_down,baseline,11,11,0.0,5250,0.16586567924022397,14.345997318844617,100.0,11.691893959895781,0.017726876491876882,0.19760987210616363,0.0,post_step,0.16717131561177398,pre_step,15.526766877089843,post_step,0.21682682050723856,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.003812629761424241,-0.015755982233998045,,yes
friction_step_down,integral,11,11,0.0,5250,0.17396018931427856,14.36122574748989,100.0,7.937968909830589,0.015763378757594818,0.237993239651829,0.0,pre_step,0.18063421106390407,pre_step,10.19988278982505,post_step,0.2520214284836188,recovered,True,0.0,not_recovered_with_limit_active,False,,0.0,0.45,0.45,6.000000000000002,True,0.0,0.0,12.342514035696398,0.0,0.008094510074054595,0.04038336754566538,0.011907139835478836,0.024627385311667332,,yes
friction_step_down,friction,11,11,0.0,5250,0.16205304947879973,14.243692887918796,100.0,5.230471110584478,0.009988138301603512,0.21336585434016167,0.0,pre_step,0.1627447118133043,pre_step,6.5420188573920495,post_step,0.23706447161494623,recovered,True,0.0,not_recovered,False,,0.0,0.45,0.45,5.93739474995508,False,0.0,0.0,69.521714688637,0.0,-0.003812629761424241,0.015755982233998045,0.0,0.0,,yes
friction_step_down,online,11,11,0.0,5250,0.16000319627832507,14.14335064695137,100.0,3.827675117776564,0.00883072622056335,0.20932598878246433,0.0,pre_step,0.16549412765762617,pre_step,5.481174204902472,post_step,0.22825606982910504,recovered,True,0.0,recovered,True,0.54,99.6952380952381,0.30345488372071755,0.5087894723907103,5.984360762996737,False,0.30000000000002247,0.0,20.000000000000412,0.0,-0.005862482961898896,0.011716116676300709,-0.002049853200474655,-0.004039865557697336,,yes
friction_step_down,baseline,29,29,0.0,5250,0.16234869744496377,14.348617431635528,100.0,11.682034421303568,0.017728927804213774,0.19766819463265664,0.0,post_step,0.1669725757414183,pre_step,15.512825705308996,post_step,0.21694636150277768,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.003937372025728525,-0.01580111125585998,,yes
friction_step_down,integral,29,29,0.0,5250,0.1706945096687376,14.379619693645305,100.0,7.932978800487291,0.015774873469988886,0.2380898044223926,0.0,pre_step,0.17444042318518171,pre_step,10.195485841122158,post_step,0.2520819811395154,recovered,True,0.0,not_recovered_with_limit_active,False,,0.0,0.45,0.45,6.000000000000002,True,0.0,0.0,12.436439369389621,0.0,0.008345812223773813,0.04042160978973597,0.012283184249502338,0.02462049853387599,,yes
