profile,arm,case_index,scenario,simulation_seed,controller_yaw_deg,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,has_raw_contact,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_geometric_separation_um,mean_true_tangent_force_n,median_true_friction_ratio,legacy_metric_max_abs_error,repair_pass,failed_repair_checks
legacy,surface_exact,18,surface_dev_18,11,15.0,15.0,0.005,0.13,True,11.813198447135276,32.311241781221796,11.815381484793658,52.733333333333334,0.0,0.3814285596605731,12.323198235623805,0.0,0.544,43.43233274894942,5.39912195715795,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_exact,19,surface_dev_19,29,15.0,15.0,0.005,0.13,True,11.798593538919597,33.8504362186138,11.808825040599507,52.666666666666664,0.0,0.3818169507359665,12.308658916563129,0.0,0.544,46.49757552792344,5.386720181946219,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_exact,20,surface_dev_20,11,15.0,15.0,0.012,0.1,True,10.05067172354229,27.336458573743723,11.812489384849092,60.266666666666666,0.0,0.3812991190566452,10.482231137906023,0.0,0.544,37.0144899894051,5.403753939637402,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_exact,21,surface_dev_21,29,15.0,15.0,0.012,0.1,True,10.04332189491421,27.46656569437938,11.805305030924092,60.13333333333334,0.0,0.38179271590522645,10.476125319184547,0.0,0.544,39.295896830316565,5.3861662120234035,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_exact,22,surface_dev_22,11,15.0,15.0,0.012,0.13,True,10.125050663775141,27.385313254377568,11.815781997551005,59.86666666666667,0.0,0.38138825838997636,10.557328152911888,0.0,0.544,38.186843471083726,5.402457376397836,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_exact,23,surface_dev_23,29,15.0,15.0,0.012,0.13,True,10.11769542321723,27.520909073240155,11.808253028174413,59.86666666666667,0.0,0.38183769182169797,10.548188138968246,0.0,0.544,44.172822168914855,5.39255204547717,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,0,surface_dev_00,11,-20.0,-15.0,0.005,0.1,True,11.618638626371613,31.539742327331133,11.84543677692463,53.86666666666666,0.0,0.5220897248853331,12.123405653767223,0.0,0.544,45.5095799659147,5.4315742579812385,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,1,surface_dev_01,29,-20.0,-15.0,0.005,0.1,True,11.607425473381898,32.668502986272664,11.844278285745009,53.93333333333333,0.0,0.5222968471578957,12.110329192050347,0.0,0.546,46.88612434166489,5.4274419610581095,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,2,surface_dev_02,11,-20.0,-15.0,0.005,0.13,True,11.693097784164804,32.61492406603988,11.84776428593689,53.6,0.0,0.5221845030747506,12.195353048377811,0.0,0.544,45.70281620054975,5.435729922737353,0.45,0.0,no,contact_ratio;raw_force_rmse
legacy,surface_minus5,3,surface_dev_03,29,-20.0,-15.0,0.005,0.13,True,11.696612893809414,31.750734808058432,11.847127910825808,53.6,0.0,0.5222570717771094,12.196426425777032,0.0,0.546,45.7056288578582,5.425784020728077,0.45,0.0,no,contact_ratio;raw_force_rmse
