arm,case_index,contact_in_both_profiles,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_geometric_separation_um,mean_true_tangent_force_n,median_true_friction_ratio
surface_minus5,22,True,-9.519755101985652,-14.036965102381675,0.053017055382410305,40.0,0.0,0.014888187208761727,-10.101302864199146,0.0,0.0,-39.40753342561096,0.012383281198757423,0.0
surface_minus5,23,True,-9.518151258972878,-13.887086645726743,0.05072086067544035,40.13333333333333,0.0,0.014802893577033793,-10.096961719714814,0.0,0.0,-41.86226794948914,0.01679704917268321,0.0
surface_plus5,0,True,-11.246263355101366,-19.442560279675863,-0.019597308512130596,46.199999999999996,0.0,0.00955298327351839,-11.809083904790892,0.0,0.0,-47.79760811881445,-0.009884500945704922,0.0
surface_plus5,1,True,-11.261226175381172,-18.3859092943772,-0.024319824086163067,46.13333333333334,0.0,0.009497019898077719,-11.80834916601043,0.0,0.0,-45.807661532552835,-0.01455265851640064,0.0
surface_plus5,2,True,-11.34331363798607,-18.7736208106519,-0.01935537262640885,46.46666666666667,0.0,0.009626904172864936,-11.901573904336624,0.0,0.0,-46.15426644450499,-0.011539330017072302,0.0
surface_plus5,3,True,-11.349138624728617,-20.015107129740265,-0.023810431425681955,46.53333333333334,0.0,0.009533737065607562,-11.897086058197466,0.0,0.0,-50.32847341672822,-0.013893813365283947,0.0
surface_plus5,4,True,-9.566044306862924,-13.218125981232312,-0.015104441113038547,38.93333333333333,0.0,0.009776168391193552,-10.048521697608798,0.0,0.0,-40.103244502372874,-0.010693468294746822,0.0
surface_plus5,5,True,-9.572629645377368,-13.601704870666785,-0.019414691914912297,39.0,0.0,0.009712325666695887,-10.046150841236114,0.0,0.0,-36.44327290807173,-0.01191064065391334,0.0
surface_plus5,6,True,-9.65152721246599,-14.071321835066154,-0.01268191836463295,39.33333333333333,0.0,0.009766713384161907,-10.13319455970806,0.0,0.0,-35.005350168773596,-0.007049202642022578,0.0
surface_plus5,7,True,-9.65085145105966,-14.00339720757342,-0.01951663803202308,39.33333333333333,0.0,0.009752341286654143,-10.122341883697121,0.0,0.0,-46.983347610687204,-0.012133081768443077,0.0
surface_plus5,8,True,-11.55388117430357,-18.3565462186926,-0.03733398351654493,47.13333333333334,0.0,0.0146913074833242,-12.042337186754981,0.0,0.0,-40.5553267220013,-0.005732136690568268,0.0
surface_plus5,9,True,-11.546145052730932,-18.98702031550875,-0.03998967391710906,47.199999999999996,0.0,0.014604869294591594,-12.02224467488544,0.0,0.0,-45.53796383485048,-0.007111108085080531,0.0
surface_plus5,10,True,-11.624050465485238,-19.886688999004683,-0.03546424239995005,47.46666666666667,0.0,0.014575981081655642,-12.116361919222642,0.0,0.0,-46.31594814443613,-0.009409163906092921,0.0
surface_plus5,11,True,-11.62482175282598,-19.65349979636314,-0.038097181765888166,47.53333333333334,0.0,0.014603426254785168,-12.102117734974904,0.0,0.0,-39.13740987195741,-0.011318284358761588,0.0
surface_plus5,12,True,-9.831585846323364,-14.327799126341388,-0.031263054320229244,39.93333333333333,0.0,0.014873627678414436,-10.245981725638181,0.0,0.0,-41.50835142060355,-0.006873751382106441,0.0
surface_plus5,13,True,-9.840077900171812,-14.617407685806832,-0.034402647140440834,39.93333333333333,0.0,0.014923453611386306,-10.234876155246193,0.0,0.0,-36.599669744417916,-0.007580801495766565,0.0
surface_plus5,14,True,-9.91200368313555,-14.022998579717393,-0.030266330904726857,40.26666666666666,0.0,0.01489690183479786,-10.325331980570397,0.0,0.0,-43.16822963664618,-0.006897881763392455,0.0
surface_plus5,15,True,-9.909223849627727,-13.524958522697318,-0.034024495693969925,40.26666666666666,0.0,0.014862833687896093,-10.307605348117757,0.0,0.0,-38.34470627574888,-0.01150780179403288,0.0
surface_plus5,16,True,-11.509003266981656,-19.997942218982402,-0.04055445952204195,46.733333333333334,0.0,0.013116808083577958,-11.938565488505708,0.0,0.0,-46.46291977177669,-0.008148320568394318,0.0
surface_plus5,17,True,-11.514511273172912,-20.03265670460402,-0.04393819700278634,46.8,0.0,0.013202277050849254,-11.92848920788233,0.0,0.0,-41.530841193217206,-0.007877752167820162,0.0
surface_plus5,18,True,-11.592349650476194,-20.338103344017675,-0.04078819900552233,47.13333333333334,0.0,0.013199595393992014,-12.025482483143124,0.0,0.0,-39.7758582255138,-0.009896052383346898,0.0
surface_plus5,19,True,-11.596104322744159,-19.711301082918425,-0.04452002931152421,47.199999999999996,0.0,0.013165579570902586,-12.0125083099711,0.0,0.0,-40.29484360850225,-0.0073345020621582435,0.0
