method,case,simulation_seed,wall_time_constant_s,wall_sliding_friction,wall_yaw_deg,position_noise_std_m,force_noise_std_n,force_bias_n,measurement_delay_ms,bias_compensation_scale,controller,scenario,force_rmse_n,peak_force_n,tangent_rmse_mm,orientation_rmse_deg,contact_ratio_pct,torque_rms_nm,saturation_pct,controller_p95_us,gate_pass,failed_checks
bounded_residual_rl,holdout_20,49,0.004909562808591864,0.7632742201993428,-2.0324300455932667,0.0007303451782944099,0.277732943141191,-0.0004159948782582745,0,1.0502093979226927,residual_rl,holdout_20,1.4778368862603943,46.068031805484104,12.281141440320239,1.7994688204995373,100.0,23.225022287405483,0.0,177.5491,no,peak_force
fixed_hybrid,holdout_21,50,0.006441248317079409,0.37685387652720825,3.517172654150336,0.00016010092796364247,0.6231489189280806,-0.7220004822538543,14,0.8501925874865197,hybrid,holdout_21,5.871798297171845,37.04592113678452,10.898546071681203,6.534934631772523,100.0,24.570125980222823,0.0,89.88785,no,force_rmse;peak_force
adaptive_hybrid,holdout_21,50,0.006441248317079409,0.37685387652720825,3.517172654150336,0.00016010092796364247,0.6231489189280806,-0.7220004822538543,14,0.8501925874865197,adaptive_hybrid,holdout_21,3.9892456388843107,33.568224831324954,8.762497908118187,6.573731776936865,100.0,24.427736002933475,0.0,155.2435,no,force_rmse
bounded_residual_rl,holdout_21,50,0.006441248317079409,0.37685387652720825,3.517172654150336,0.00016010092796364247,0.6231489189280806,-0.7220004822538543,14,0.8501925874865197,residual_rl,holdout_21,3.370889178690727,42.67966355134553,11.305331363578773,6.5609342152269114,100.0,24.578538453663317,0.0,180.20495,no,force_rmse;peak_force
fixed_hybrid,holdout_22,51,0.007892086507245046,0.3716637618129529,-0.6698538797246574,0.0001741276063026109,0.5043410026873096,0.12075999642219437,8,1.0607856348719908,hybrid,holdout_22,0.981043105818603,30.642160232343638,12.989844863442775,2.3579828701846206,100.0,24.875674080688594,0.0,90.37085,yes,
adaptive_hybrid,holdout_22,51,0.007892086507245046,0.3716637618129529,-0.6698538797246574,0.0001741276063026109,0.5043410026873096,0.12075999642219437,8,1.0607856348719908,adaptive_hybrid,holdout_22,1.1205043417895268,31.950736776632063,10.886060758660204,2.358997588824226,100.0,24.983569371280787,0.0,153.44555,yes,
bounded_residual_rl,holdout_22,51,0.007892086507245046,0.3716637618129529,-0.6698538797246574,0.0001741276063026109,0.5043410026873096,0.12075999642219437,8,1.0607856348719908,residual_rl,holdout_22,1.2222005928982977,31.77259617864797,8.207874457698418,2.370708223534887,100.0,25.09646806497743,0.0,167.92069999999998,yes,
fixed_hybrid,holdout_23,52,0.013821545077775667,0.6400287583615818,-3.642401841790155,0.0007418073500606216,0.49273643116892996,-0.6329953633978916,24,1.087488104226747,hybrid,holdout_23,1.3615362114151675,32.39391365389708,18.722751135920948,3.069974946453532,100.0,23.90781192846557,0.0,103.09255,no,tangent_rmse
adaptive_hybrid,holdout_23,52,0.013821545077775667,0.6400287583615818,-3.642401841790155,0.0007418073500606216,0.49273643116892996,-0.6329953633978916,24,1.087488104226747,adaptive_hybrid,holdout_23,1.1984460884242703,30.89045697220842,14.492451896762597,3.0973628514663134,100.0,24.060779472379807,0.0,135.15725,yes,
bounded_residual_rl,holdout_23,52,0.013821545077775667,0.6400287583615818,-3.642401841790155,0.0007418073500606216,0.49273643116892996,-0.6329953633978916,24,1.087488104226747,residual_rl,holdout_23,1.2587964784523267,33.253529642519034,11.261359698223254,3.1020720475980332,100.0,24.076887183958362,0.0,168.29135,yes,
