scale,method,case_index,scenario,simulation_seed,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,duration_s,has_raw_contact,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_penetration_mm,evaluation_median_penetration_mm,projection_pct,max_compensation_force_n,tangent_velocity_error_rms_m_s,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,frozen_metric_max_abs_error,failed_gates,all_gates_pass
1.0,integral,13,surface_dev_13,29,0.0,0.012,0.1,4.5,True,0.16253419763284338,12.627296366084218,8.064425187796402,100.0,0.0,0.5322206410155667,0.21562429288452814,0.0,0.5740000000000001,0.8508893935353159,0.6946281800008571,0.0,5.174688344124555,0.01694568642632766,6.132909595996459,4.93290959599646,0.0,,yes
1.0,friction,13,surface_dev_13,29,0.0,0.012,0.1,4.5,True,0.15329732434359394,12.628783970392217,1.7963844656072254,100.0,0.0,0.45080755562637753,0.21470216161518194,0.0,0.5740000000000001,0.8509045513209537,0.711085799844642,0.0,5.5473366433331925,0.003622756980698011,6.113450480454739,4.91345048045474,0.0,,yes
1.0,online,13,surface_dev_13,29,0.0,0.012,0.1,4.5,True,0.15319385471003566,12.628783970392217,1.2926917196649217,100.0,0.0,0.46460668407890426,0.21442846358916798,0.0,0.5740000000000001,0.8509045513209537,0.709109703694262,0.0,5.984360716642944,0.004121146853495672,6.097635921463866,4.897635921463866,0.0,,yes
1.0,baseline,14,surface_dev_14,11,0.0,0.012,0.13,4.5,True,0.16652624730416576,12.652757751384899,11.762009620501663,100.0,0.0,0.4257683977995422,0.21025784146342982,0.0,0.5740000000000001,0.8493817337996492,0.7160796325664589,0.0,0.0,0.01795080302396441,6.182855597241128,4.982855597241128,0.0,,yes
1.0,integral,14,surface_dev_14,11,0.0,0.012,0.13,4.5,True,0.17368607319107107,12.651216972833824,8.075286129522269,100.0,0.0,0.5320070623703077,0.21005639939401496,0.0,0.5740000000000001,0.8493669777266191,0.6929518061252817,0.0,5.179122202913909,0.016897285358787734,6.079243134612616,4.879243134612617,0.0,,yes
1.0,friction,14,surface_dev_14,11,0.0,0.012,0.13,4.5,True,0.1662040968506829,12.652757751384899,1.8153215844496242,100.0,0.0,0.450542875305343,0.20935358538112853,0.0,0.5740000000000001,0.8493817337996492,0.7088064766061011,0.0,5.560422017628878,0.0035739350303253628,6.057379259679919,4.85737925967992,0.0,,yes
1.0,online,14,surface_dev_14,11,0.0,0.012,0.13,4.5,True,0.16560086860950843,12.652757751384899,1.3053967706168306,100.0,0.0,0.46431638664891395,0.20899054973089246,0.0,0.5740000000000001,0.8493817337996492,0.7064340404326144,0.0,5.984360762996737,0.004094814372986078,6.041712029323477,4.841712029323478,0.0,,yes
1.0,baseline,15,surface_dev_15,29,0.0,0.012,0.13,4.5,True,0.15274642273897132,12.629880561091165,11.754160363296775,100.0,0.0,0.4260835867213191,0.21556875722487723,0.0,0.5740000000000001,0.8491850282756688,0.7169387185049849,0.0,0.0,0.01797936177969387,6.192186611383812,4.992186611383813,0.0,,yes
1.0,integral,15,surface_dev_15,29,0.0,0.012,0.13,4.5,True,0.16330756295342935,12.628399420773137,8.067812610936208,100.0,0.0,0.5323182399068939,0.21557032722369418,0.0,0.5740000000000001,0.8491699744381034,0.6923974487728981,0.0,5.175449872022858,0.016969286198129246,6.088207773899356,4.888207773899357,0.0,,yes
1.0,friction,15,surface_dev_15,29,0.0,0.012,0.13,4.5,True,0.15408088833892966,12.629880561091165,1.8015191629480347,100.0,0.0,0.4508607805254612,0.21465836888842624,0.0,0.5740000000000001,0.8491850282756688,0.7089058020291819,0.0,5.547028618615569,0.003640984326859257,6.068875422613258,4.868875422613259,0.0,,yes
1.0,online,15,surface_dev_15,29,0.0,0.012,0.13,4.5,True,0.15395519098776347,12.629880561091165,1.2992950336290494,100.0,0.0,0.46467288983664484,0.21440166414178008,0.0,0.5740000000000001,0.8491850282756688,0.7069107421448853,0.0,5.984360716642944,0.004146770952736657,6.05304487425264,4.853044874252641,0.0,,yes
1.0,baseline,16,surface_dev_16,11,15.0,0.005,0.1,4.5,True,0.18405042298814628,12.620729988248337,11.801780095865656,100.0,0.0,0.39526747945583535,0.20297444646518253,0.0,0.544,0.7896328860047055,0.6661088829709017,0.0,0.0,0.01811649927016344,6.013376297504547,4.813376297504548,0.0,,yes
1.0,integral,16,surface_dev_16,11,15.0,0.005,0.1,4.5,True,0.19369471748362885,12.619214966154765,8.148348516701624,100.0,0.0,0.4958646226108295,0.20252906049472072,0.0,0.544,0.7896192975543719,0.6432972908443462,0.0,5.1933895936561845,0.01720978101953169,5.93661539635459,4.7366153963545905,0.0,,yes
1.0,friction,16,surface_dev_16,11,15.0,0.005,0.1,4.5,True,0.1708274036684484,12.620729988248337,1.9119209235147776,100.0,0.0,0.42361953723487517,0.2031633553334102,0.0,0.544,0.7896328860047055,0.6586684932522076,0.0,5.615892952936453,0.00379510263559442,5.924435566811541,4.724435566811541,0.0,,yes
1.0,online,16,surface_dev_16,11,15.0,0.005,0.1,4.5,True,0.17440956421267975,12.65924137253659,1.3515598212032085,100.0,0.0,0.4392309140031574,0.2032637607035252,0.0,0.544,0.7896328860047055,0.6566503525117072,0.0,5.984360762996737,0.004069872893288871,5.912788519307575,4.712788519307575,0.0,,yes
1.0,baseline,17,surface_dev_17,29,15.0,0.005,0.1,4.5,True,0.1755141417515295,12.599041467799319,11.791575884976647,100.0,0.0,0.3956075184214987,0.20840370283625953,0.0,0.544,0.7894180896112213,0.6654468236411173,0.0,0.0,0.018132706926431222,6.008267017856287,4.808267017856288,0.0,,yes
1.0,integral,17,surface_dev_17,29,15.0,0.005,0.1,4.5,True,0.1875276962007695,12.620883356673472,8.13640667055791,100.0,0.0,0.49625330629470604,0.20824097749569695,0.0,0.544,0.7894029418209005,0.6429136251184728,0.0,5.18517652863461,0.01726183853629696,5.931631829051419,4.73163182905142,0.0,,yes
1.0,friction,17,surface_dev_17,29,15.0,0.005,0.1,4.5,True,0.16357939669828833,12.599041467801147,1.895573179516424,100.0,0.0,0.4238823248755746,0.20873244322641293,0.0,0.544,0.7894180896112282,0.6586521629898152,0.0,5.621213330064391,0.0038591974206048196,5.920293394955438,4.720293394955439,0.0,,yes
1.0,online,17,surface_dev_17,29,15.0,0.005,0.1,4.5,True,0.167575996849988,12.63410237735084,1.3423406440601688,100.0,0.0,0.4396310513657516,0.2089598094450693,0.0,0.544,0.7894180896112282,0.6564828831123142,0.0,5.984360762996737,0.004133434358639255,5.910902351731913,4.710902351731914,0.0,,yes
1.0,baseline,18,surface_dev_18,11,15.0,0.005,0.13,4.5,True,0.18454114668449664,12.621832743060997,11.804806536138866,100.0,0.0,0.39533431409863123,0.2029121527964673,0.0,0.544,0.7880697485673077,0.6639139648033279,0.0,0.0,0.018130525009153024,5.96881300851748,4.768813008517481,0.0,,yes
1.0,integral,18,surface_dev_18,11,15.0,0.005,0.13,4.5,True,0.19404813227282047,12.620328087275254,8.15183372398107,100.0,0.0,0.4959762591799387,0.2024766214148065,0.0,0.544,0.7880562928667921,0.6410499894928361,0.0,5.19383311572058,0.01723328970884029,5.891757348244583,4.691757348244583,0.0,,yes
1.0,friction,18,surface_dev_18,11,15.0,0.005,0.13,4.5,True,0.17123940131884324,12.621832743060999,1.9169175393222149,100.0,0.0,0.423691183515696,0.2031160072372517,0.0,0.544,0.7880697485673077,0.6564394899125012,0.0,5.61564578941863,0.0038128448383078647,5.879794648178876,4.679794648178877,0.0,,yes
1.0,online,18,surface_dev_18,11,15.0,0.005,0.13,4.5,True,0.17480653183699538,12.660215432445323,1.3581684708127841,100.0,0.0,0.4393075147377201,0.2032283107794383,0.0,0.544,0.7880697485673077,0.6544354938654782,0.0,5.984360762996737,0.004093338674548032,5.868130334754174,4.668130334754174,0.0,,yes
