method,case_index,simulation_seed,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,from_scale,to_scale,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_penetration_mm,evaluation_median_penetration_mm,projection_pct,max_compensation_force_n,tangent_velocity_error_rms_m_s,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm
baseline,5,29,-15.0,0.012,0.1,1.0,2.0,0.003664191460924948,-0.08313000031112061,-0.0010624500113038948,0.0,0.0,-0.24872043505322183,-0.0004080615292004208,0.0,0.0020000000000000018,-0.0008677733718368552,-3.3414104158913105e-05,0.0,0.0,0.00014830198261636673,0.004993876560860144,0.004993876560860144
integral,5,29,-15.0,0.012,0.1,1.0,2.0,0.005690430437211597,-0.08355971241394933,0.0310029549343529,0.0,0.0,-0.30207819926152496,-0.0003822835638491451,0.0,0.0020000000000000018,-0.0008720157417957397,-4.443654149155485e-05,0.0,-0.03428780951293131,0.00028352804961812375,-0.007583515165593191,-0.007583515165593191
friction,5,29,-15.0,0.012,0.1,1.0,2.0,0.002254565507003231,-0.08313000031112061,0.019500804684762896,0.0,0.0,-0.261606697088145,-0.0004997749990354183,0.0,0.0020000000000000018,-0.0008677733718368552,-0.000268801394878726,0.0,0.019778232264428652,0.0002758033252209533,0.010302476068855704,0.010302476068855704
online,5,29,-15.0,0.012,0.1,1.0,2.0,0.00476982132893608,-0.08313000031112061,0.044807309997455746,0.0,0.0,-0.26524907912355267,-0.00023306021753577433,0.0,0.0020000000000000018,-0.0008677733718368552,0.0005939722186270036,0.0,0.0,0.0004453343528085813,0.006521830905538373,0.006521830905538373
baseline,6,11,-15.0,0.012,0.13,1.0,2.0,0.002466759673597607,-0.08449562752546136,-0.0010654486438212984,0.0,0.0,-0.24869779591496344,-0.00027684787149903634,0.0,0.0040000000000000036,-0.0008743770831820541,0.0002521638537527071,0.0,0.0,0.00014834455179290815,0.0004976292372607105,0.0004976292372607105
integral,6,11,-15.0,0.012,0.13,1.0,2.0,0.004549537888593275,-0.08493182172430735,0.031271107335360426,0.0,0.0,-0.30211237219460685,-0.00015028008421621997,0.0,0.0040000000000000036,-0.0008789864065633646,0.0006416794443124818,0.0,-0.03405826792104971,0.00028307683130648215,-0.0017965619131050659,-0.0017965619131050659
friction,6,11,-15.0,0.012,0.13,1.0,2.0,0.0015789496765422628,-0.0844956275225286,0.019022255814854727,0.0,0.0,-0.2615393367380105,-0.0005015158882543669,0.0,0.0040000000000000036,-0.0008743770832723152,-0.00013893475675330613,0.0,-0.0033549102105094875,0.00027494979130730486,0.00976848363613847,0.00976848363613847
online,6,11,-15.0,0.012,0.13,1.0,2.0,0.00404599806213507,-0.0844956275225286,0.04322695303396085,0.0,0.0,-0.26519646268810676,-0.00026091670340225304,0.0,0.0040000000000000036,-0.0008743770832723152,-0.00020400209810655934,0.0,0.0,0.0004426598511824264,0.005061569139817479,0.005061569139817479
baseline,7,29,-15.0,0.012,0.13,1.0,2.0,0.0035771547528709036,-0.08322299812090783,-0.0010502152169813428,0.0,0.0,-0.24873496941065404,-0.0004033779021082873,0.0,0.0020000000000000018,-0.000866648031772721,-4.321190885847592e-05,0.0,0.0,0.00014872232604376534,0.004908271268483588,0.004908271268483588
integral,7,29,-15.0,0.012,0.13,1.0,2.0,0.0056330074758673965,-0.08363370039411677,0.031177827164993843,0.0,0.0,-0.30210167689789663,-0.000379474414155645,0.0,0.0020000000000000018,-0.0008709167348512903,-3.598794968973085e-05,0.0,-0.03426308952416157,0.000284623590387046,-0.007574876275180387,-0.007574876275180387
friction,7,29,-15.0,0.012,0.13,1.0,2.0,0.002177486487463076,-0.08322299811427492,0.01963565602629247,0.0,0.0,-0.26162487651595534,-0.0004959573793359429,0.0,0.0020000000000000018,-0.0008666480317449654,-0.00027937113594200813,0.0,0.019827888586274156,0.00027731797199516883,0.010180685049317795,0.010180685049317795
