category,method,case_index,scenario,simulation_seed,duration_s,controller_yaw_deg,wall_yaw_deg,wall_time_constant_s,tool_mass_kg,true_sliding_friction,has_raw_contact,force_rmse_n,peak_force_n,tangent_rmse_mm,contact_ratio_pct,saturation_pct,orientation_rmse_deg,measurement_rmse_n,seconds_over_35_n,first_raw_contact_time_s,max_penetration_mm,evaluation_median_penetration_mm,projection_pct,max_compensation_force_n,baseline_metric_max_abs_error,case_checks_pass,failed_case_checks
main,integral,2,surface_dev_02,11,4.5,-15.0,-15.0,0.005,0.13,0.45,True,0.23430326945813282,12.62378227380151,8.092652812804124,100.0,0.0,0.652734525994885,0.20374659981179113,0.0,0.544,0.7880954998905377,0.6417416861162137,0.0,5.270339968538392,,yes,
main,integral,3,surface_dev_03,29,4.5,-15.0,-15.0,0.005,0.13,0.45,True,0.22637463378225214,12.607278534552512,8.089410062598384,100.0,0.0,0.65288725735191,0.20861083139150094,0.0,0.546,0.787847905296759,0.6417051553098685,0.0,5.257892732654334,,yes,
main,integral,4,surface_dev_04,11,4.5,-15.0,-15.0,0.012,0.1,0.45,True,0.23506590687980605,12.63062638726578,8.095594795342988,100.0,0.0,0.6531629559430496,0.204267922069692,0.0,0.544,0.8509596367108664,0.6952706941491422,0.0,5.269722854221326,,yes,
main,integral,5,surface_dev_05,29,4.5,-15.0,-15.0,0.012,0.1,0.45,True,0.22767714123836083,12.60787224889725,8.093115557222566,100.0,0.0,0.653314555523352,0.2091986736499939,0.0,0.546,0.8507430599181687,0.6951138802715889,0.0,5.257358955833242,,yes,
main,integral,6,surface_dev_06,11,4.5,-15.0,-15.0,0.012,0.13,0.45,True,0.23625378875545314,12.631748427136072,8.098784985753014,100.0,0.0,0.6532765393719618,0.2042226078531297,0.0,0.544,0.8492396149747151,0.6930473446635048,0.0,5.271010056218588,,yes,
main,integral,7,surface_dev_07,29,4.5,-15.0,-15.0,0.012,0.13,0.45,True,0.22871512418718828,12.60905086500153,8.096289614665185,100.0,0.0,0.6534290465752436,0.20914615184239851,0.0,0.546,0.8490242517118045,0.6928519170248809,0.0,5.258628751778007,,yes,
main,integral,8,surface_dev_08,11,4.5,0.0,0.0,0.005,0.1,0.45,True,0.16912540577874743,12.63497916865367,8.064794206390555,100.0,0.0,0.5315056866750656,0.2095572054070994,0.0,0.5740000000000001,0.7897473216626829,0.6440100684896379,0.0,5.178515123116944,,yes,
main,integral,9,surface_dev_09,29,4.5,0.0,0.0,0.005,0.1,0.45,True,0.15992512848877524,12.620963992757861,8.057680981787987,100.0,0.0,0.5318108847105415,0.2151052176660843,0.0,0.5740000000000001,0.789613538486257,0.6433012998848311,0.0,5.175174205659595,,yes,
main,integral,10,surface_dev_10,11,4.5,0.0,0.0,0.005,0.13,0.45,True,0.170153136972098,12.636163268229701,8.068201220098882,100.0,0.0,0.5316034186039602,0.20950741062499306,0.0,0.5740000000000001,0.7881851881425885,0.6417514665312887,0.0,5.179219806362696,,yes,
main,integral,11,surface_dev_11,29,4.5,0.0,0.0,0.005,0.13,0.45,True,0.16070420906841712,12.622106564812883,8.061084591349957,100.0,0.0,0.5319093848907905,0.21505375434123716,0.0,0.5740000000000001,0.788051126432411,0.641075632809053,0.0,5.175931108143631,,yes,
main,integral,12,surface_dev_12,11,4.5,0.0,0.0,0.012,0.1,0.45,True,0.17266313741804085,12.650074162213052,8.071892622735874,100.0,0.0,0.5319100660899577,0.21010682852557713,0.0,0.5740000000000001,0.851086451815454,0.6952004367138456,0.0,5.178413005029007,,yes,
main,integral,13,surface_dev_13,29,4.5,0.0,0.0,0.012,0.1,0.45,True,0.16253419763284338,12.627296366084218,8.064425187796402,100.0,0.0,0.5322206410155667,0.21562429288452814,0.0,0.5740000000000001,0.8508893935353159,0.6946281800008571,0.0,5.174688344124555,,yes,
main,integral,14,surface_dev_14,11,4.5,0.0,0.0,0.012,0.13,0.45,True,0.17368607319107107,12.651216972833824,8.075286129522269,100.0,0.0,0.5320070623703077,0.21005639939401496,0.0,0.5740000000000001,0.8493669777266191,0.6929518061252817,0.0,5.179122202913909,,yes,
main,integral,15,surface_dev_15,29,4.5,0.0,0.0,0.012,0.13,0.45,True,0.16330756295342935,12.628399420773137,8.067812610936208,100.0,0.0,0.5323182399068939,0.21557032722369418,0.0,0.5740000000000001,0.8491699744381034,0.6923974487728981,0.0,5.175449872022858,,yes,
main,integral,16,surface_dev_16,11,4.5,15.0,15.0,0.005,0.1,0.45,True,0.19369471748362885,12.619214966154765,8.148348516701624,100.0,0.0,0.4958646226108295,0.20252906049472072,0.0,0.544,0.7896192975543719,0.6432972908443462,0.0,5.1933895936561845,,yes,
main,integral,17,surface_dev_17,29,4.5,15.0,15.0,0.005,0.1,0.45,True,0.1875276962007695,12.620883356673472,8.13640667055791,100.0,0.0,0.49625330629470604,0.20824097749569695,0.0,0.544,0.7894029418209005,0.6429136251184728,0.0,5.18517652863461,,yes,
