surface_yaw_deg,scale,case,arm,simulation_seed,phase,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,projection_pct,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,paired_baseline_force_rmse_increase_n,paired_baseline_orientation_rmse_increase_deg,paired_friction_force_rmse_increase_n,paired_friction_orientation_rmse_increase_deg,failed_gates,all_gates_pass,supplemental_failures,all_checks_pass
15.0,1,stop_hold_reverse,online,11,forward,1500,0.17440956421271447,12.58283205918575,100.0,1.351559821203211,0.004069872893288623,0.4392309140031739,0.0,0.0,5.912788519307474,4.712788519307475,-0.009640858775387895,0.043963434547367286,0.0035821605443577542,0.015611376768304819,,yes,,yes
15.0,1,stop_hold_reverse,online,11,stopping,500,0.14000323173452509,12.329497230479213,100.0,1.1894911096799934,0.002693832188985681,0.2913018148933385,0.0,0.0,5.70574531060141,4.5057453106014105,0.02382645664560519,0.020721457114131148,0.0003670673426124371,0.005336719578349025,,yes,,yes
15.0,1,stop_hold_reverse,online,11,hold,750,0.055147096030637104,12.228591819415598,100.0,0.8462316527105515,0.0005362336633069936,0.1703761806169924,0.0,0.0,6.680859539788443,5.480859539788444,0.01962834315734599,-0.09978609945581163,0.003231846218128581,-0.000917618300366907,,yes,,yes
15.0,1,stop_hold_reverse,online,11,reverse_ramp,500,0.15585884772618513,12.302954424222708,100.0,1.0586137722017652,0.0023098601410064677,0.3686682849190459,0.0,0.0,6.72048758602298,5.5204875860229805,0.03825672612566676,0.13685282555298955,-0.0018902601399928276,0.01855278996644999,paired_orientation_rmse,no,,no
15.0,1,stop_hold_reverse,online,11,reverse,2000,0.14626987413056397,12.283282332368358,100.0,0.855617291403184,0.0015394695293934686,0.4732875429367571,0.0,0.0,5.7574764056301415,4.557476405630142,-0.013863755238538278,-0.004792709416684415,0.00017957494052758816,0.0035086631592550765,,yes,,yes
15.0,1,modest_combined,baseline,11,pre_change,1250,0.1271370498270961,12.308808462967445,100.0,8.812702638503469,0.01403481652623844,0.4831520183943405,0.0,0.0,6.350980247252517,5.150980247252518,0.0,0.0,0.00218282494602616,-0.026051886429642068,,yes,,yes
15.0,1,modest_combined,baseline,11,combined_transition,2000,0.4147434058773951,12.392898146490294,100.0,7.715838232134265,0.012461208550778409,0.2568975146637832,0.0,0.0,5.755424657003813,4.5554246570038135,0.0,0.0,-0.018578550548897288,-0.015698321988383,,yes,,yes
15.0,1,modest_combined,baseline,11,combined_post,2000,0.8140061263451771,11.867968899501996,100.0,13.981278406896026,0.01670016377722885,0.44039132556388355,0.0,0.0,5.604047721230359,4.40404772123036,0.0,0.0,0.010975876182923727,0.014121851103029937,,yes,,yes
15.0,1,modest_combined,friction,11,pre_change,1250,0.12495422488106993,12.284762282972377,100.0,2.8662219085755813,0.0037309921813129705,0.5092039048239826,0.0,0.0,6.2837025469802725,5.083702546980273,-0.00218282494602616,0.026051886429642068,0.0,0.0,,yes,,yes
15.0,1,modest_combined,friction,11,combined_transition,2000,0.4333219564262924,12.384755290501424,100.0,1.737987498184541,0.0035776930314569974,0.2725958366521662,0.0,0.0,5.846468704451315,4.6464687044513155,0.018578550548897288,0.015698321988383,0.0,0.0,,yes,,yes
