surface_yaw_deg,scale,case,arm,simulation_seed,paired_baseline_seed,controller_yaw_error_deg,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,worst_force_phase,worst_phase_force_rmse_n,worst_tangent_phase,worst_phase_tangent_rmse_mm,worst_orientation_phase,worst_phase_orientation_rmse_deg,force_recovery_status,force_recovered,force_recovery_time_s,tangent_recovery_status,tangent_recovered,tangent_recovery_time_s,tangential_update_ready_pct,coefficient_min,coefficient_max,max_requested_tangential_force_n,compensation_limit_observed,max_normal_operation_coefficient_rate_s,max_coefficient_reset_jump,max_normal_operation_force_slew_n_s,max_force_reset_jump_n,projection_pct,minimum_torque_headroom_nm,minimum_reserved_torque_headroom_nm,paired_force_rmse_increase_n,paired_orientation_rmse_increase_deg,paired_friction_force_rmse_increase_n,paired_friction_orientation_rmse_increase_deg,failed_gates,all_gates_pass,supplemental_failures,all_checks_pass
-15,2,stop_hold_reverse,online,11,11,0.0,5250,0.14372599149042195,12.541452551798194,100.0,1.0922106568479402,0.0028765773986696706,0.20687321475931558,0.0,forward,0.21951198285111498,forward,1.4116475912807755,forward,0.3046858788926185,recovered,True,0.0,recovered,True,0.0,80.34285714285714,0.45,0.5084173618603347,5.984360762996737,False,0.2804488044081399,0.0,20.00000000000042,0.0,0.0,5.747613534437073,4.547613534437073,0.011275752268309125,0.011578935095966358,0.0037811972381143755,0.005472620580751875,,yes,,yes
-15,2,modest_combined,baseline,11,11,3.0,5250,0.566033630234233,12.542417763976738,100.0,10.728927074578985,0.014608669909449668,0.20543322031400654,0.0,combined_post,0.7754914902539006,combined_post,13.97375655477512,pre_change,0.34020725998133916,recovered,True,1.17,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,5.682236605117064,4.482236605117064,0.0,0.0,-0.002218169040975715,-0.006165572910287437,,yes,,yes
-15,2,modest_combined,friction,11,11,3.0,5250,0.5682517992752087,12.536857414440563,100.0,3.2922578976839834,0.004444388382097113,0.21159879322429398,0.0,combined_post,0.7560079547326443,combined_post,4.426956008674572,pre_change,0.35709958784526996,recovered,True,1.0440000000000005,not_recovered,False,,0.0,0.45,0.45,5.569466142226791,False,0.0,0.0,68.55751297313522,0.0,0.0,5.718308920783906,4.518308920783907,0.002218169040975715,0.006165572910287437,0.0,0.0,,yes,,yes
-15,2,modest_combined,online,11,11,3.0,5250,0.5670668692029411,12.536857414445493,100.0,2.4211580179938768,0.0041940989330431794,0.2148112193241047,0.0,combined_post,0.7536196269540445,combined_post,3.3221749592510266,pre_change,0.3619004982670611,recovered,True,1.032,recovered,True,0.0,80.87619047619047,0.33693211694139935,0.5095523328307988,5.984317976910445,False,0.2865615591267634,0.0,20.0000000000004,0.0,0.0,5.719255947884832,4.519255947884833,0.0010332389687081056,0.00937799901009817,-0.0011849300722676093,0.0032124260998107335,,yes,,yes
0,2,stop_hold_reverse,baseline,11,11,0.0,5250,0.11454119278166104,12.54275511398457,100.0,10.54830576947052,0.014884591601985133,0.18558801092828056,0.0,forward,0.15991481461968265,forward,11.751726223880715,forward,0.22707825899195055,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,5.707910523499316,4.507910523499317,0.0,0.0,-0.0011001561137496535,-0.0032133287101205332,,yes,,yes
0,2,stop_hold_reverse,friction,11,11,0.0,5250,0.1156413488954107,12.54275511398457,100.0,1.4721141579349535,0.0028776863785344494,0.1888013396384011,0.0,forward,0.1596246481497768,forward,1.8189984793523024,forward,0.23851078327153338,recovered,True,0.0,recovered,True,0.0,0.0,0.45,0.45,5.5484353427251305,False,0.0,0.0,69.21794035830574,0.0,0.0,5.632960092664036,4.432960092664037,0.0011001561137496535,0.0032133287101205332,0.0,0.0,,yes,,yes
0,2,stop_hold_reverse,online,11,11,0.0,5250,0.11536552466687865,12.579745879986284,100.0,1.0524326209074366,0.0027877993250025658,0.19396275439148244,0.0,forward,0.15927976461785098,forward,1.3241418381505032,forward,0.2480511609721826,recovered,True,0.0,recovered,True,0.0,80.26666666666667,0.45,0.5055932006915046,5.984360762996737,False,0.26745704060035513,0.0,20.00000000000021,0.0,0.0,5.620284758105724,4.4202847581057245,0.0008243318852176051,0.008374743463201884,-0.00027582422853204835,0.00516141475308135,,yes,,yes
0,2,modest_combined,baseline,11,11,3.0,5250,0.5603304469357953,12.547723183632819,100.0,10.701292635974028,0.014566273355998069,0.1909631133372958,0.0,combined_post,0.7957677493141461,combined_post,13.927849047186575,pre_change,0.2829403770203886,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,5.646591183687599,4.4465911836876,0.0,0.0,-0.0016050886728613545,-0.003012420311850006,,yes,,yes
0,2,modest_combined,friction,11,11,3.0,5250,0.5619355356086566,12.54490359444068,100.0,3.258228840464177,0.004392604592259793,0.1939755336491458,0.0,combined_post,0.7814998224828673,combined_post,4.3761039892050135,pre_change,0.29480879157889245,recovered,True,1.290000000000001,recovered,True,0.6880000000000006,0.0,0.45,0.45,5.519196423196768,False,0.0,0.0,69.13591404585188,0.0,0.0,5.667975725419787,4.467975725419787,0.0016050886728613545,0.003012420311850006,0.0,0.0,,yes,,yes
0,2,modest_combined,online,11,11,3.0,5250,0.5596207331215616,12.544903594440678,100.0,2.3772890188301097,0.0041079746345819715,0.19756213820448212,0.0,combined_post,0.7805004421622224,combined_post,3.2549953184760527,pre_change,0.2993870480514187,recovered,True,1.274000000000001,recovered,True,0.0,80.80000000000001,0.3401404335403175,0.5091108835308411,5.984317976910444,False,0.2818827610825969,0.0,20.00000000000045,0.0,0.0,5.669332928335114,4.469332928335115,-0.0007097138142336812,0.006599024867186332,-0.0023148024870950357,0.0035866045553363257,,yes,,yes
15.0,2,stop_hold_reverse,baseline,11,11,0.0,5250,0.15385478099037958,12.610178365977276,100.0,10.594010758893614,0.014982396657939285,0.2115917787157964,0.0,forward,0.19365702672029392,forward,11.796661927594593,reverse,0.2530376303557791,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,5.659405473782462,4.459405473782462,0.0,0.0,0.0082205425348289,-0.0021321057431764323,,yes,,yes
15.0,2,stop_hold_reverse,friction,11,11,0.0,5250,0.14563423845555068,12.59271787116115,100.0,1.5472538094065704,0.003043015616602816,0.21372388445897283,0.0,reverse_ramp,0.17550463143487738,forward,1.9248290532662982,reverse,0.24221675946795346,recovered,True,0.0,recovered,True,0.0,0.0,0.45,0.45,5.624935016421106,False,0.0,0.0,69.52171468863676,0.0,0.0,5.681952959454296,4.481952959454297,-0.0082205425348289,0.0021321057431764323,0.0,0.0,,yes,,yes
15.0,2,stop_hold_reverse,online,11,11,0.0,5250,0.14815719944390443,12.652065967202244,100.0,1.1202911232641306,0.0028816340168726718,0.21886950594218357,0.0,forward,0.18300240246482596,forward,1.4053053618682358,reverse,0.24363374933189366,recovered,True,0.0,recovered,True,0.0,80.22857142857143,0.45,0.5069903515440979,5.984360762996737,False,0.2707712772919424,0.0,20.00000000000034,0.0,0.0,5.6825898537643855,4.482589853764386,-0.00569758154647515,0.007277727226387171,0.0025229609883537507,0.005145621483210738,,yes,,yes
15.0,2,modest_combined,baseline,11,11,3.0,5250,0.5684856030226695,12.550989204246635,100.0,10.751778721986817,0.0146716963939849,0.21149635326954697,0.0,combined_post,0.8188830063178099,combined_post,13.981013847568622,pre_change,0.2618783431634393,recovered,True,0.0,not_recovered,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,5.613856549297939,4.41385654929794,0.0,0.0,0.0017792608573734547,-0.0009505924795009668,,yes,,yes
15.0,2,modest_combined,friction,11,11,3.0,5250,0.566706342165296,12.550264155274839,100.0,3.277147799727362,0.00443857546517398,0.21244694574904793,0.0,combined_post,0.8077989939470306,combined_post,4.439310243978921,pre_change,0.26850919641702653,recovered,True,0.0,recovered,True,0.7639999999999993,0.0,0.45,0.45,5.6117495904404535,False,0.0,0.0,69.41285832025277,0.0,0.0,5.625244037604416,4.425244037604417,-0.0017792608573734547,0.0009505924795009668,0.0,0.0,,yes,,yes
15.0,2,modest_combined,online,11,11,3.0,5250,0.5652837543930187,12.550264155274839,100.0,2.4168719087071358,0.004080995117175864,0.21686690757590757,0.0,combined_post,0.8070796010845682,combined_post,3.308639070527286,pre_change,0.2752549848990579,recovered,True,0.0,recovered,True,0.09600000000000009,80.74285714285713,0.3447998887115979,0.5101763063835753,5.984317976910445,False,0.2774512876793367,0.0,20.00000000000037,0.0,0.0,5.627361165023302,4.427361165023303,-0.003201848629650783,0.005370554306360603,-0.0014225877722773284,0.004419961826859636,,yes,,yes
