case,surface_yaw_deg,simulation_seed,arm,phase,from_scale,to_scale,delta_force_rmse_n,delta_peak_force_n,delta_contact_ratio_pct,delta_tangent_rmse_mm,delta_tangent_velocity_error_rms_m_s,delta_orientation_rmse_deg,delta_saturation_pct,delta_projection_pct,delta_minimum_torque_headroom_nm,delta_minimum_reserved_torque_headroom_nm,delta_force_recovery_time_s,delta_tangent_recovery_time_s
stop_hold_reverse,0,11,friction,overall,1,2,-0.0033731561327522974,-0.09383067459624783,0.0,0.015126459937638614,0.00012112120825623655,-0.16305670687710724,0.0,0.0,-0.025526176391129418,-0.025526176391129418,0.0,0.0
stop_hold_reverse,0,11,friction,reverse,1,2,-0.0015128911657680405,-0.010527050406862415,0.0,0.0037764708226342147,3.464561116864112e-05,-0.17094065511382237,0.0,0.0,-0.000264243496091332,-0.000264243496091332,,
stop_hold_reverse,0,11,friction,reverse_ramp,1,2,0.0059904548022405996,0.031314398272154875,0.0,0.056714782692672605,1.909544410782539e-06,-0.09771495257799862,0.0,0.0,0.002006645569858634,0.002006645569858634,,
stop_hold_reverse,0,11,friction,stopping,1,2,-0.010393454669266694,0.045618761155495235,0.0,0.02022747266564562,0.0001151219767890556,-0.0923720700979411,0.0,0.0,-0.025526176391129418,-0.025526176391129418,,
stop_hold_reverse,0,11,online,forward,1,2,-0.0025517070636848216,0.004524077731305809,0.0,0.04129207465617424,0.0004525666336807352,-0.21580427671927854,0.0,0.0,0.00137669202467805,0.00137669202467805,,
stop_hold_reverse,0,11,online,hold,1,2,-0.019957811503280694,-0.06991479854287874,0.0,0.03965720826819663,1.0004109546333357e-05,-0.09218740507686687,0.0,0.0,0.01292906432002816,0.01292906432002816,,
stop_hold_reverse,0,11,online,overall,1,2,-0.0033824310020578174,-0.056839908594534805,0.0,0.038823832496324595,0.0002295088382743911,-0.16615659468397345,0.0,0.0,-0.026559594680865217,-0.026559594680865217,0.0,0.0
stop_hold_reverse,0,11,online,reverse,1,2,-0.0010569714420487347,-0.00913824721800971,0.0,0.021151395932261452,5.984085447915933e-05,-0.17337884690369598,0.0,0.0,0.0003158655678161537,0.0003158655678161537,,
stop_hold_reverse,0,11,online,reverse_ramp,1,2,0.005319001788164135,0.04024381299599966,0.0,0.07571742244501034,1.4254560277760387e-05,-0.10590661701832182,0.0,0.0,0.0013576657121792124,0.0013576657121792124,,
stop_hold_reverse,0,11,online,stopping,1,2,-0.010266818057382165,0.0502078340277432,0.0,0.05450279582555595,0.00010510955311356096,-0.0942490604500342,0.0,0.0,-0.026559594680865217,-0.026559594680865217,,
