case,simulation_seed,arm,phase,sample_count,force_rmse_n,peak_force_n,contact_ratio_pct,tangent_rmse_mm,tangent_velocity_error_rms_m_s,orientation_rmse_deg,saturation_pct,paired_baseline_force_rmse_increase_n,paired_baseline_orientation_rmse_increase_deg,paired_friction_force_rmse_increase_n,paired_friction_orientation_rmse_increase_deg,failed_gates,all_gates_pass
stop_hold_reverse,11,baseline,stopping,500,0.1161767750889199,12.2534705247211,100.0,10.571421349395912,0.008202356899292971,0.27058035777920736,0.0,0.0,0.0,-0.023459389302992753,-0.015384737535782123,,yes
stop_hold_reverse,11,baseline,hold,750,0.035518752873291114,12.120784920256392,100.0,6.025338770114624,0.003957266109875681,0.270162280072804,0.0,0.0,0.0,-0.01639649693921741,0.09886848115544472,,yes
stop_hold_reverse,11,baseline,reverse_ramp,500,0.11760212160051838,12.433036613789406,100.0,7.053310820307321,0.021302737769676977,0.23181545936605635,0.0,0.0,0.0,-0.04014698626565959,-0.11830003558653956,,yes
stop_hold_reverse,11,baseline,reverse,2000,0.16013362936910225,12.4692089615187,100.0,11.675552886500386,0.014116525204220524,0.47808025235344154,0.0,0.0,0.0,0.014043330179065866,0.008301372575939492,,yes
stop_hold_reverse,11,integral,forward,1500,0.19369471748361097,12.606469062135474,100.0,8.148348516701637,0.017209781019532036,0.4958646226108299,0.0,0.009644294495508604,0.10059714315502333,0.022867313815254253,0.07224508537596086,paired_orientation_rmse,no
stop_hold_reverse,11,integral,stopping,500,0.12092128291166315,12.274786456950116,100.0,6.289635827881572,0.007776110222647359,0.30444442600593835,0.0,0.0047445078227432574,0.03386406822673099,-0.018714881480249496,0.01847933069094887,,yes
stop_hold_reverse,11,integral,hold,750,0.05383251125201919,12.162325701655002,100.0,4.408787382031241,0.005065461428112773,0.30742570164463856,0.0,0.018313758378728076,0.03726342157183454,0.0019172614395106674,0.13613190272727926,,yes
stop_hold_reverse,11,integral,reverse_ramp,500,0.1787176276607734,12.413350444042411,100.0,7.196515251629532,0.01302081494602697,0.4127016511844607,0.0,0.06111550606025502,0.18088619181840437,0.020968519794595436,0.06258615623186481,paired_orientation_rmse,no
stop_hold_reverse,11,integral,reverse,2000,0.16576304051619623,12.37056656818862,100.0,7.325223299355527,0.01109211293461461,0.5675449618470505,0.0,0.005629411147093977,0.08946470949360896,0.019672741326159843,0.09776608206954845,,yes
stop_hold_reverse,11,friction,forward,1500,0.17082740366835672,12.554738611470729,100.0,1.911920923514814,0.0037951026355943634,0.42361953723486906,0.0,-0.01322301931974565,0.028352057779062467,0.0,0.0,,yes
stop_hold_reverse,11,friction,stopping,500,0.13963616439191265,12.331185004453909,100.0,0.8487615661543301,0.0026944853555603107,0.2859650953149895,0.0,0.023459389302992753,0.015384737535782123,0.0,0.0,,yes
stop_hold_reverse,11,friction,hold,750,0.05191524981250852,12.224904909022026,100.0,0.24209471272389463,0.00021027712478302105,0.1712937989173593,0.0,0.01639649693921741,-0.09886848115544472,0.0,0.0,,yes
stop_hold_reverse,11,friction,reverse_ramp,500,0.15774910786617796,12.318716488789892,100.0,1.6684719505452745,0.004009245005392013,0.3501154949525959,0.0,0.04014698626565959,0.11830003558653956,0.0,0.0,paired_orientation_rmse,no
stop_hold_reverse,11,friction,reverse,2000,0.14609029919003638,12.3044281645969,100.0,1.583099212856304,0.0022778793091781696,0.46977887977750205,0.0,-0.014043330179065866,-0.008301372575939492,0.0,0.0,,yes
stop_hold_reverse,11,online,forward,1500,0.17440956421271447,12.58283205918575,100.0,1.351559821203211,0.004069872893288623,0.4392309140031739,0.0,-0.009640858775387895,0.043963434547367286,0.0035821605443577542,0.015611376768304819,,yes
